RF,Time,Latitude,Longitude,Altitude
16,17:48:23,22.9025871,120.2731106,19.968
16,17:48:26,22.902592,120.2731602,21.156
16,17:48:29,22.9025901,120.2731622,26.86
16,17:48:32,22.902603,120.2731618,29.917
16,17:48:35,22.9026821,120.2731583,29.907
16,17:48:38,22.9027889,120.2731515,29.928
16,17:48:41,22.9029076,120.2731412,30.009
17,17:54:12,22.9030479,120.2731223,-0.038
17,17:54:15,22.9030467,120.2731226,-0.122
17,17:54:18,22.9030239,120.2731182,1.042
17,17:54:21,22.9029313,120.273099,6.829
17,17:54:24,22.9028287,120.2730835,12.329
17,17:54:27,22.9027203,120.2730637,18.045
17,17:54:30,22.9026529,120.2730495,20.164
17,17:54:33,22.9026778,120.2730034,20.288
17,17:54:36,22.9027261,120.2729012,20.17
17,17:54:39,22.9027868,120.2727755,20.008
17,17:54:42,22.9028452,120.2726601,20.055
17,17:54:45,22.9028928,120.2725927,19.702
17,17:54:48,22.9029394,120.2726375,19.885
17,17:54:51,22.9030179,120.2727169,20.182
17,17:54:54,22.9031062,120.2728044,20.375
17,17:54:57,22.9031495,120.2728396,25.727
17,17:55:00,22.9031442,120.2728505,29.742
17,17:55:03,22.9031172,120.2729129,30.053
17,17:55:06,22.9030768,120.2730308,30.056
17,17:55:09,22.9030514,120.2731157,30.11
17,17:55:12,22.9030475,120.273123,30.299
18,17:57:26,22.9030183,120.2731243,19.827
18,17:57:29,22.9029685,120.2731276,20.081
18,17:57:32,22.9029181,120.2731341,20.1
18,17:57:35,22.9028688,120.2731385,19.999
18,17:57:38,22.9028137,120.2731444,20.063
18,17:57:41,22.9027621,120.2731499,20.01
18,17:57:44,22.9027219,120.2731325,20.01
18,17:57:48,22.9026744,120.2731005,20.202
18,17:57:51,22.9026286,120.2730706,20.068
18,17:57:54,22.9025836,120.2730406,20.173
18,17:57:57,22.9025373,120.2730097,19.897
18,17:58:00,22.9025253,120.2729739,20.068
18,17:58:03,22.9025396,120.2729189,20.205
18,17:58:06,22.90256,120.2728566,20.089
